Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm)
03-10-28,2003,10,28,,13.4,,8.3,,10.9,,7.1,,0,,10.4,,0,,10.4
03-10-29,2003,10,29,,11.2,,2.2,,6.7,,11.3,,0,,0,,0,,0
03-10-30,2003,10,30,,10.2,,2.9,,6.6,,11.4,,0,,0,,0,,0
03-10-31,2003,10,31,,6.9,,-0.7,,3.1,,14.9,,0,,0,,0,,0
03-11-01,2003,11,1,,6.2,,-0.7,,2.8,,15.2,,0,,0,,0,,0
03-11-02,2003,11,2,,8.8,,-1.5,,3.7,,14.3,,0,,0,,0,,0
03-11-03,2003,11,3,,7.7,,-2.2,,2.8,,15.2,,0,,0,,0,,0
03-11-04,2003,11,4,,7.3,,-3.6,,1.9,,16.1,,0,,0,,0,,0
03-11-05,2003,11,5,,5.9,,-4.4,,0.8,,17.2,,0,,0,,0,,0
03-11-06,2003,11,6,,5.8,,-4.6,,0.6,,17.4,,0,,0,,0,,0
03-11-07,2003,11,7,,7.1,,-4.2,,1.5,,16.5,,0,,0,,0,,0
03-11-08,2003,11,8,,9.8,,2.5,,6.2,,11.8,,0,,0.2,,0,,0.2
03-11-09,2003,11,9,,10.3,,-1.4,,4.5,,13.5,,0,,0,,0,,0
03-11-10,2003,11,10,,9.4,,3.5,,6.5,,11.5,,0,,6,,0,,6
03-11-11,2003,11,11,,10.4,,5,,7.7,,10.3,,0,,0,,0,,0
03-11-12,2003,11,12,,10.7,,2.9,,6.8,,11.2,,0,,0,,0,,0
03-11-13,2003,11,13,,9.3,,-1.4,,4,,14,,0,,0,,0,,0
03-11-14,2003,11,14,,12.7,,2.1,,7.4,,10.6,,0,,0.2,,0,,0.2
03-11-15,2003,11,15,,11.2,,6.9,,9.1,,8.9,,0,,8.8,,0,,8.8
03-11-16,2003,11,16,,9.6,,7.2,,8.4,,9.6,,0,,14.2,,0,,14.2
03-11-17,2003,11,17,,10.4,,4.5,,7.5,,10.5,,0,,19,,0,,19
03-11-18,2003,11,18,,10.3,,3.3,,6.8,,11.2,,0,,37,,0,,37
03-11-19,2003,11,19,,7.8,,2.8,,5.3,,12.7,,0,,7.2,,0,,7.2
03-11-20,2003,11,20,,5.4,,-0.8,,2.3,,15.7,,0,,0,,0,,0
03-11-21,2003,11,21,,4.4,,-1.6,,1.4,,16.6,,0,,0,,0,,0
03-11-22,2003,11,22,,2.1,,-1.1,,0.5,,17.5,,0,,0,,0,T,0
03-11-23,2003,11,23,,6.7,,1.3,,4,,14,,0,,4.2,,0,,4.2
03-11-24,2003,11,24,,6.7,,1.7,,4.2,,13.8,,0,,4.4,,0,,4.4
03-11-25,2003,11,25,,8,,1.1,,4.6,,13.4,,0,,3.2,,0,,3.2
03-11-26,2003,11,26,,9.2,,-1.2,,4,,14,,0,,0,,0,,0
03-11-27,2003,11,27,,8.3,,2.4,,5.4,,12.6,,0,,0.4,,0,,0.4
03-11-28,2003,11,28,,9,,5.5,,7.3,,10.7,,0,,62.6,,0,,62.6
03-11-29,2003,11,29,,8.3,,3.2,,5.8,,12.2,,0,,0,,0,,0
03-11-30,2003,11,30,,6.9,,-1.6,,2.7,,15.3,,0,,0,,0,,0
03-12-01,2003,12,1,,5.6,,-1.5,,2.1,,15.9,,0,,3,,0,,3
03-12-02,2003,12,2,,11.6,,4.1,,7.9,,10.1,,0,,10.8,,0,,10.8
03-12-03,2003,12,3,,7.6,,0.6,,4.1,,13.9,,0,,0,,0,,0
03-12-04,2003,12,4,,11.3,,-0.7,,5.3,,12.7,,0,,4.2,,0,,4.2
03-12-05,2003,12,5,,9.8,,6.8,,8.3,,9.7,,0,,6.6,,0,,6.6
03-12-06,2003,12,6,,10.6,,2.2,,6.4,,11.6,,0,,5,,0,,5
03-12-07,2003,12,7,,6.3,,3.3,,4.8,,13.2,,0,,1.4,,0,,1.4
03-12-08,2003,12,8,,6.9,,4,,5.5,,12.5,,0,,1,,0,,1
03-12-09,2003,12,9,,4.5,,-1.7,,1.4,,16.6,,0,,0,,0,,0
03-12-10,2003,12,10,,6.2,,2.9,,4.6,,13.4,,0,,0,,0,,0
03-12-11,2003,12,11,,6,,3.2,,4.6,,13.4,,0,,4.6,,0,,4.6
03-12-12,2003,12,12,,8.9,,2.6,,5.8,,12.2,,0,,7.6,,0,,7.6
03-12-13,2003,12,13,,7.7,,4.1,,5.9,,12.1,,0,,3.4,,0,,3.4
03-12-14,2003,12,14,,7.7,,2.2,,5,,13,,0,,2.4,,0,,2.4
03-12-15,2003,12,15,,7.7,,0.1,,3.9,,14.1,,0,,0,T,0,,0
03-12-16,2003,12,16,,8.8,,1.8,,5.3,,12.7,,0,,12.8,,0,,12.8
03-12-17,2003,12,17,,9.7,,1.9,,5.8,,12.2,,0,,0,,0,,0
03-12-18,2003,12,18,,8.4,,0.1,,4.3,,13.7,,0,,0,,0,,0
03-12-19,2003,12,19,,9.6,,0,,4.8,,13.2,,0,,1.8,,0,,1.8
03-12-20,2003,12,20,,9.2,,5,,7.1,,10.9,,0,,6,,0,,6
03-12-21,2003,12,21,,10.2,,3.8,,7,,11,,0,,0,,0,,0
03-12-22,2003,12,22,,8.9,,1.1,,5,,13,,0,,0,,0,,0
03-12-23,2003,12,23,,8.6,,1.3,,5,,13,,0,,4.2,,0,,4.2
03-12-24,2003,12,24,,9.8,,6,,7.9,,10.1,,0,,8.8,,0,,8.8
03-12-25,2003,12,25,,8.2,,2.6,,5.4,,12.6,,0,,0.2,,0,,0.2
03-12-26,2003,12,26,,5.3,,-1,,2.2,,15.8,,0,,0.8,,0,,0.8
03-12-27,2003,12,27,,3.3,,0.1,,1.7,,16.3,,0,,10,,3,,13.4
03-12-28,2003,12,28,,2.8,,-2.5,,0.2,,17.8,,0,,0,,0,,0
03-12-29,2003,12,29,,3.7,,-5.5,,-0.9,,18.9,,0,,0,,0,,0
03-12-30,2003,12,30,,0.1,,-1.8,,-0.9,,18.9,,0,,0,,3.4,,3.6
03-12-31,2003,12,31,,1.5,,-0.2,,0.7,,17.3,,0,,2.6,,8.2,,11.6
